run_id,tag,round,client,epoch,epochs_total,lr,replay_ratio,cl_batch,cl_batch_size,train_loss,train_acc,val_loss,val_acc
20251015-122621,controller_v2,1,0,2,20,0.001,0.2,2,1001,1.0489,77.17,3.5718,22.4
20251015-122621,controller_v2,1,0,3,20,0.001,0.2,2,1001,0.6683,86.75,4.7097,11.78
20251015-122621,controller_v2,1,0,4,20,0.001,0.2,2,1001,0.3626,95.0,3.7223,18.4
20251015-122621,controller_v2,1,0,5,20,0.001,0.2,2,1001,0.2005,98.08,3.1408,27.18
20251015-122621,controller_v2,1,0,6,20,0.001,0.2,2,1001,0.1128,99.67,2.8446,32.7
20251015-122621,controller_v2,1,0,7,20,0.001,0.2,2,1001,0.0651,99.58,2.8727,33.02
20251015-122621,controller_v2,1,0,8,20,0.001,0.2,2,1001,0.0422,99.92,2.6829,35.8
20251015-122621,controller_v2,1,0,9,20,0.001,0.2,2,1001,0.0227,100.0,2.4232,40.48
20251015-122621,controller_v2,1,0,10,20,0.001,0.2,2,1001,0.0156,99.92,2.2276,44.78
20251015-122621,controller_v2,1,0,11,20,0.001,0.2,2,1001,0.0103,100.0,2.1087,46.84
20251015-122621,controller_v2,1,0,12,20,0.001,0.2,2,1001,0.0086,100.0,2.0676,48.14
20251015-122621,controller_v2,1,0,13,20,0.001,0.2,2,1001,0.0061,100.0,2.0574,48.36
20251015-122621,controller_v2,1,0,14,20,0.001,0.2,2,1001,0.0049,100.0,2.0261,48.96
20251015-122621,controller_v2,1,0,15,20,0.001,0.2,2,1001,0.0038,100.0,2.0088,49.16
20251015-122621,controller_v2,1,0,16,20,0.001,0.2,2,1001,0.0035,100.0,1.9988,49.52
20251015-122621,controller_v2,1,0,17,20,0.001,0.2,2,1001,0.0027,100.0,1.9938,49.62
20251015-122621,controller_v2,1,0,18,20,0.001,0.2,2,1001,0.0024,100.0,1.9895,50.14
20251015-122621,controller_v2,1,0,19,20,0.001,0.2,2,1001,0.0022,100.0,1.9921,50.08
20251015-122621,controller_v2,1,0,20,20,0.001,0.2,2,1001,0.002,100.0,1.9854,50.34
20251015-122621,controller_v2,1,1,1,20,0.001,0.2,2,1001,1.4302,63.17,3.5444,25.66
20251015-122621,controller_v2,1,1,2,20,0.001,0.2,2,1001,1.0128,79.17,4.7548,12.94
20251015-122621,controller_v2,1,1,3,20,0.001,0.2,2,1001,0.5975,89.83,3.4515,20.92
20251015-122621,controller_v2,1,1,4,20,0.001,0.2,2,1001,0.3255,95.83,3.196,26.88
20251015-122621,controller_v2,1,1,5,20,0.001,0.2,2,1001,0.1865,98.08,3.1954,28.22
20251015-122621,controller_v2,1,1,6,20,0.001,0.2,2,1001,0.1029,99.67,2.9961,31.22
20251015-122621,controller_v2,1,1,7,20,0.001,0.2,2,1001,0.0608,99.67,2.5783,37.98
20251015-122621,controller_v2,1,1,8,20,0.001,0.2,2,1001,0.0388,99.67,2.4657,40.9
20251015-122621,controller_v2,1,1,9,20,0.001,0.2,2,1001,0.025,100.0,2.3271,43.5
20251015-122621,controller_v2,1,1,10,20,0.001,0.2,2,1001,0.0145,100.0,2.1825,46.8
20251015-122621,controller_v2,1,1,11,20,0.001,0.2,2,1001,0.0091,100.0,2.1099,47.86
20251015-122621,controller_v2,1,1,12,20,0.001,0.2,2,1001,0.0061,100.0,2.0663,49.1
20251015-122621,controller_v2,1,1,13,20,0.001,0.2,2,1001,0.0048,100.0,2.0332,49.48
20251015-122621,controller_v2,1,1,14,20,0.001,0.2,2,1001,0.0042,100.0,1.9914,49.98
20251015-122621,controller_v2,1,1,15,20,0.001,0.2,2,1001,0.0032,100.0,1.9849,50.42
20251015-122621,controller_v2,1,1,16,20,0.001,0.2,2,1001,0.0027,100.0,1.9698,50.1
20251015-122621,controller_v2,1,1,17,20,0.001,0.2,2,1001,0.0023,100.0,1.9605,50.84
20251015-122621,controller_v2,1,1,18,20,0.001,0.2,2,1001,0.0021,100.0,1.9574,51.0
20251015-122621,controller_v2,1,1,19,20,0.001,0.2,2,1001,0.002,100.0,1.9494,50.98
20251015-122621,controller_v2,1,1,20,20,0.001,0.2,2,1001,0.0018,100.0,1.9511,51.2
20251015-122621,controller_v2,1,2,1,20,0.001,0.2,2,1001,1.4156,64.83,3.3555,24.82
20251015-122621,controller_v2,1,2,2,20,0.001,0.2,2,1001,1.0002,77.5,5.1628,11.26
20251015-122621,controller_v2,1,2,3,20,0.001,0.2,2,1001,0.62,89.58,4.143,14.22
20251015-122621,controller_v2,1,2,4,20,0.001,0.2,2,1001,0.3253,96.5,3.4933,21.18
20251015-122621,controller_v2,1,2,5,20,0.001,0.2,2,1001,0.1793,98.67,3.4273,23.38
20251015-122621,controller_v2,1,2,6,20,0.001,0.2,2,1001,0.1005,99.67,2.9062,31.96
20251015-122621,controller_v2,1,2,7,20,0.001,0.2,2,1001,0.0641,99.92,2.7002,35.78
20251015-122621,controller_v2,1,2,8,20,0.001,0.2,2,1001,0.0347,99.83,2.399,41.46
20251015-122621,controller_v2,1,2,9,20,0.001,0.2,2,1001,0.0218,99.92,2.2841,43.7
20251015-122621,controller_v2,1,2,10,20,0.001,0.2,2,1001,0.0128,100.0,2.2113,44.74
20251015-122621,controller_v2,1,2,11,20,0.001,0.2,2,1001,0.0109,100.0,2.1123,47.28
20251015-122621,controller_v2,1,2,12,20,0.001,0.2,2,1001,0.0064,100.0,2.0581,48.58
20251015-122621,controller_v2,1,2,13,20,0.001,0.2,2,1001,0.0047,100.0,2.0359,49.62
20251015-122621,controller_v2,1,2,14,20,0.001,0.2,2,1001,0.004,100.0,2.0243,49.68
20251015-122621,controller_v2,1,2,15,20,0.001,0.2,2,1001,0.0032,100.0,2.0019,50.12
20251015-122621,controller_v2,1,2,16,20,0.001,0.2,2,1001,0.0027,100.0,1.999,50.06
20251015-122621,controller_v2,1,2,17,20,0.001,0.2,2,1001,0.0023,100.0,1.9847,50.16
20251015-122621,controller_v2,1,2,18,20,0.001,0.2,2,1001,0.0021,100.0,1.9862,50.26
20251015-122621,controller_v2,1,2,19,20,0.001,0.2,2,1001,0.0019,100.0,1.9859,50.32
20251015-122621,controller_v2,1,2,20,20,0.001,0.2,2,1001,0.0018,100.0,1.9776,50.26
20251015-122621,controller_v2,1,3,1,20,0.001,0.2,2,1001,1.5181,60.75,3.7681,22.44
20251015-122621,controller_v2,1,3,2,20,0.001,0.2,2,1001,1.1518,74.83,4.3234,12.88
20251015-122621,controller_v2,1,3,3,20,0.001,0.2,2,1001,0.6855,87.67,4.5876,11.14
20251015-122621,controller_v2,1,3,4,20,0.001,0.2,2,1001,0.4114,94.67,3.6729,19.42
20251015-122621,controller_v2,1,3,5,20,0.001,0.2,2,1001,0.2176,98.0,3.1756,26.98
20251015-122621,controller_v2,1,3,6,20,0.001,0.2,2,1001,0.1038,99.5,3.4289,24.26
20251015-122621,controller_v2,1,3,7,20,0.001,0.2,2,1001,0.0702,99.58,2.9134,32.04
20251015-122621,controller_v2,1,3,8,20,0.001,0.2,2,1001,0.0426,99.83,2.5336,38.74
20251015-122621,controller_v2,1,3,9,20,0.001,0.2,2,1001,0.022,100.0,2.3563,42.62
20251015-122621,controller_v2,1,3,10,20,0.001,0.2,2,1001,0.0143,100.0,2.2479,44.98
